positive,negative
公园中新的“安静迪斯科”活动为户外舞蹈和社交提供了一种无噪音的有趣方式。,"静静的舞蹈派对引发了奇怪的行为和安全关切,"
"我印象深刻的是,这座城市是如何融入了雨水艺术装置的, 这些装置在暴风雨中活生生的。",雨水活跃的街头艺术给司机和行人造成了混乱和安全危险。
加入城市素描小组 提高了我的绘画技巧 帮助我从新的光芒中看到了城市,"城市草图美景广受欢迎,导致景点拥挤和当地企业骚乱。"
镇上新的户外健身小道 配有QR码指示 使得运动更方便 更有趣,"高科技运动站经常失灵,成为破坏目标。"
社区拥有的太阳能农场使无法自行安装电池板的居民可以使用可再生能源。,"大型太阳能装置是眼光,周围地区的地产价值下降。"
进行地理剖析 是一个令人兴奋的方式 探索我们城市的隐藏角落 并与其他爱好者联系,地理偏差趋势已导致对公共场所暗藏物品问题和关切的侵扰。
我发现新的冥想舱 在城市公园 是和平的撤退 从城市的压力。,"公共场所的个人放松胶囊感到孤立,被滥用于睡觉和其他活动。"
"城市在暴风雨下水道上绘制壁画的倡议, 提高了人们对水污染的认识。","色彩繁多的排水艺术让司机分心,而且很快就破损,需要经常重新油漆。"
"参与社区“Repair Café”教育我宝贵的技能,帮助减少浪费。",DIY修理车间引起了责任问题和专业修理企业的抱怨。
历史建筑上的新建筑照明 在夜晚美丽地展示了我们城市的遗产,"地标的明亮照明导致光污染,并扰乱了附近居民的睡眠。"
这座城市如何将电话亭 重新定位为小型图书馆和艺术设施 令我印象深刻,"取消功能电话亭给没有移动电话的人造成了困难,特别是在紧急情况下。"
公园内的社区民间舞蹈班是练习和庆祝文化多样性的喜悦方式。,"户外舞蹈课造成噪音扰动,在公共绿地踩踏草地。"
参加监测当地鸟类人口的公民科学项目是教育和奖励性的。,"业余观鸟活动扰乱了筑巢地点,导致数据收集工作不可靠。"
"新的“温馨之旅”,人们可以捐赠或穿衣服,这培养了社区给予的精神。","衣物捐赠墙已变得组织混乱, 吸引害虫,"
我很乐于为社区时间胶囊做贡献 为后代保存记忆,"时间胶囊项目似乎是一种资源浪费,可能无意中掩埋有害环境的材料。"
这个城市的“开放街道”倡议为周末的社区活动创造了极好的无车空间。,"对行人事件道路的封锁造成交通堵塞,并伤害了依赖车辆进出的企业。"
"新的黑暗中发光自行车道路改善了夜间骑自行车者的安全,并为我们城市增添了未来的魅力。","光亮的自行车车道被批评为一个昂贵的螺旋桨,需要高水平的维修,并可能混淆驾驶员。"
参加社区圆圈是一个通过节奏与他人连接的令人振奋的方式。,公园内经常举行的震荡集会引起了附近居民的许多噪音投诉。
"城市的“食用公交车站”如何将等候区变成有生产力的小型花园,我对此感到惊讶。","过境站的公共蔬菜园地维护不良,吸引了害虫,造成混乱。"
"城市河流中新的漂浮湿地改善了水质,为城市野生生物创造了生境。","人工河流岛屿干扰了水活动,需要不断进行费用高昂的维修。"
采用信箱是一个探索我们地区隐藏角落和发挥创造力的令人振奋的方法。,躲藏和寻找信箱的趋势导致自然地区的干扰和对垃圾的担忧。
"社区为创建一个有减少光污染的星座公园所做的努力,打开了夜空的奇观。","黑暗的天空保护区引起人们的安全关切,使某些地区难以在夜间航行。"
"我感到非常满意的是,我为该市的参与性预算编制过程做出了贡献, 直接影响到地方开支。","社区预算分配会议以有声的少数群体为主,扭曲了基本服务的支出。"
"公园中新的音响花园,加上互动音乐雕塑,创造了一个有趣和独特的感官体验。","公共音乐设施已成为不断噪音的来源,扰乱了曾经平静的绿色空间的和平。"
加入城市养蜂协会 将我与自然联系起来 并且帮助支持我们的地方生态系统,"业余养蜂人数量激增,导致蜜蜂过度饱和,有可能伤害本地授粉者。"
